date,ticker,price
2000-01-03,MSFT,39.840438
2000-01-04,MSFT,38.494621
2000-01-05,MSFT,38.900502
2000-01-06,MSFT,37.597410000000004
2000-01-07,MSFT,38.08874
2000-01-10,MSFT,38.366448
2000-01-11,MSFT,37.383789
2000-01-12,MSFT,36.166145
2000-01-13,MSFT,36.849735
2000-01-14,MSFT,38.366448
2000-01-18,MSFT,39.413194
2000-01-19,MSFT,36.572026
2000-01-20,MSFT,36.230232
2000-01-21,MSFT,35.461194
2000-01-24,MSFT,34.606707
2000-01-25,MSFT,35.140761
2000-01-26,MSFT,33.965842
2000-01-27,MSFT,33.752221
2000-01-28,MSFT,33.581323
2000-01-31,MSFT,33.45315
2000-02-01,MSFT,35.183486
2000-02-02,MSFT,34.457172
2000-02-03,MSFT,35.41847
2000-02-04,MSFT,36.422491
2000-02-07,MSFT,36.443853
2000-02-08,MSFT,37.576048
2000-02-09,MSFT,35.546643
2000-02-10,MSFT,36.230232
2000-02-11,MSFT,34.158102
2000-02-14,MSFT,34.051291
2000-02-15,MSFT,33.688134
2000-02-16,MSFT,33.367702
2000-02-17,MSFT,34.051291
2000-02-18,MSFT,32.491853
2000-02-22,MSFT,32.06461
2000-02-23,MSFT,32.214145
2000-02-24,MSFT,32.385042
2000-02-25,MSFT,31.210123
2000-02-28,MSFT,31.295572
2000-02-29,MSFT,30.547896
2000-03-01,MSFT,31.039226
2000-03-02,MSFT,31.915074
2000-03-03,MSFT,32.85501
2000-03-06,MSFT,30.975139
2000-03-07,MSFT,31.744177
2000-03-08,MSFT,32.66275
2000-03-09,MSFT,34.179464
2000-03-10,MSFT,34.521259
2000-03-13,MSFT,33.495875
2000-03-14,MSFT,32.513215
2000-03-15,MSFT,32.598664
2000-03-16,MSFT,32.598664
2000-03-17,MSFT,33.965842
2000-03-20,MSFT,33.282253
2000-03-21,MSFT,35.119399
2000-03-22,MSFT,35.290297
2000-03-23,MSFT,38.238275
2000-03-24,MSFT,38.174189
2000-03-27,MSFT,35.568005
2000-03-28,MSFT,35.653453
2000-03-29,MSFT,36.636113
2000-03-30,MSFT,35.333021
2000-03-31,MSFT,36.31568
2000-04-03,MSFT,31.060588
2000-04-04,MSFT,30.270188
2000-04-05,MSFT,29.522512
2000-04-06,MSFT,29.394339
2000-04-07,MSFT,30.441085
2000-04-10,MSFT,29.415701
2000-04-11,MSFT,28.668025
2000-04-12,MSFT,27.12995
2000-04-13,MSFT,27.087225
2000-04-14,MSFT,25.335528
2000-04-17,MSFT,25.933668
2000-04-18,MSFT,27.535831
2000-04-19,MSFT,26.894966
2000-04-20,MSFT,26.980414
2000-04-24,MSFT,22.772068
2000-04-25,MSFT,23.712003
2000-04-26,MSFT,23.242036
2000-04-27,MSFT,23.861538
2000-04-28,MSFT,23.840176
2000-05-01,MSFT,25.100544
2000-05-02,MSFT,23.8829
2000-05-03,MSFT,24.117884
2000-05-04,MSFT,24.07516
2000-05-05,MSFT,24.310144
2000-05-08,MSFT,23.861538
2000-05-09,MSFT,23.177949
2000-05-10,MSFT,22.622533
2000-05-11,MSFT,23.199311
2000-05-12,MSFT,23.519744
2000-05-15,MSFT,23.712003
2000-05-16,MSFT,23.754727
2000-05-17,MSFT,23.135225
2000-05-18,MSFT,22.622533
2000-05-19,MSFT,22.238014
2000-05-22,MSFT,21.938943
2000-05-23,MSFT,21.597149
2000-05-24,MSFT,22.408911
2000-05-25,MSFT,21.02037
2000-05-26,MSFT,20.999008
2000-05-30,MSFT,21.661235
2000-05-31,MSFT,21.383527
2000-06-01,MSFT,22.067116
2000-06-02,MSFT,22.665257
2000-06-05,MSFT,22.857517
2000-06-06,MSFT,23.797452
2000-06-07,MSFT,24.096522
2000-06-08,MSFT,23.519744
2000-06-09,MSFT,23.519744
2000-06-12,MSFT,22.857517
2000-06-13,MSFT,23.199311
2000-06-14,MSFT,24.096522
2000-06-15,MSFT,24.737387
2000-06-16,MSFT,24.801474
2000-06-19,MSFT,25.185993
2000-06-20,MSFT,25.613236
2000-06-21,MSFT,27.578555
2000-06-22,MSFT,27.300847
2000-06-23,MSFT,26.553171
2000-06-26,MSFT,27.172674
2000-06-27,MSFT,26.93769
2000-06-28,MSFT,26.980414
2000-06-29,MSFT,26.382274
2000-06-30,MSFT,27.343571
2000-07-03,MSFT,27.343571
2000-07-05,MSFT,26.830879
2000-07-06,MSFT,27.664004
2000-07-07,MSFT,28.02716
2000-07-10,MSFT,27.151312
2000-07-11,MSFT,27.044501
2000-07-12,MSFT,27.450382
2000-07-13,MSFT,27.322209
2000-07-14,MSFT,26.980414
2000-07-17,MSFT,26.724068
2000-07-18,MSFT,26.830879
2000-07-19,MSFT,24.993733
2000-07-20,MSFT,25.570511
2000-07-21,MSFT,24.716025
2000-07-24,MSFT,24.117884
2000-07-25,MSFT,23.58383
2000-07-26,MSFT,23.177949
2000-07-27,MSFT,23.712003
2000-07-28,MSFT,23.818814
2000-07-31,MSFT,23.861538
2000-08-01,MSFT,23.477019
2000-08-02,MSFT,23.712003
2000-08-03,MSFT,24.011073
2000-08-04,MSFT,23.626554
2000-08-07,MSFT,23.925625
2000-08-08,MSFT,25.335528
2000-08-09,MSFT,25.378252
2000-08-10,MSFT,24.822836
2000-08-11,MSFT,24.758749
2000-08-14,MSFT,24.673301
2000-08-15,MSFT,24.481041
2000-08-16,MSFT,24.267419
2000-08-17,MSFT,24.459679
2000-08-18,MSFT,24.267419
2000-08-21,MSFT,24.139246
2000-08-22,MSFT,24.352868
2000-08-23,MSFT,24.181971
2000-08-24,MSFT,24.310144
2000-08-25,MSFT,24.139246
2000-08-28,MSFT,24.37423
2000-08-29,MSFT,24.246057
2000-08-30,MSFT,23.925625
2000-08-31,MSFT,23.861538
2000-09-01,MSFT,23.989711
2000-09-05,MSFT,23.968349
2000-09-06,MSFT,23.733365
2000-09-07,MSFT,23.946987
2000-09-08,MSFT,23.690641
2000-09-11,MSFT,23.519744
2000-09-12,MSFT,23.28476
2000-09-13,MSFT,23.327484
2000-09-14,MSFT,22.49436
2000-09-15,MSFT,21.938943
2000-09-18,MSFT,21.533062
2000-09-19,MSFT,22.216652
2000-09-20,MSFT,21.960306
2000-09-21,MSFT,21.938943
2000-09-22,MSFT,21.618511
2000-09-25,MSFT,20.934922
2000-09-26,MSFT,21.426251
2000-09-27,MSFT,20.7213
2000-09-28,MSFT,20.956284
2000-09-29,MSFT,20.614489
2000-10-02,MSFT,20.208608
2000-10-03,MSFT,19.332759
2000-10-04,MSFT,18.94824
2000-10-05,MSFT,18.926878
2000-10-06,MSFT,18.990965
2000-10-09,MSFT,18.520997
2000-10-10,MSFT,18.64917
2000-10-11,MSFT,19.055051
2000-10-12,MSFT,18.585084
2000-10-13,MSFT,18.371462
2000-10-16,MSFT,17.217905
2000-10-17,MSFT,17.239267
2000-10-18,MSFT,17.687873
2000-10-19,MSFT,21.148543
2000-10-20,MSFT,22.280738
2000-10-23,MSFT,21.233992
2000-10-24,MSFT,21.02037
2000-10-25,MSFT,20.934922
2000-10-26,MSFT,22.024392
2000-10-27,MSFT,23.135225
2000-10-30,MSFT,23.605192
2000-10-31,MSFT,23.541106
2000-11-01,MSFT,23.797452
2000-11-02,MSFT,24.032436
2000-11-03,MSFT,23.327484
2000-11-06,MSFT,23.754727
2000-11-07,MSFT,24.096522
2000-11-08,MSFT,23.733365
2000-11-09,MSFT,24.224695
2000-11-10,MSFT,23.028414
2000-11-13,MSFT,22.707981
2000-11-14,MSFT,23.519744
2000-11-15,MSFT,23.946987
2000-11-16,MSFT,23.562468
2000-11-17,MSFT,23.605192
2000-11-20,MSFT,22.964327
2000-11-21,MSFT,23.156587
2000-11-22,MSFT,23.327484
2000-11-24,MSFT,23.904263
2000-11-27,MSFT,24.160609
2000-11-28,MSFT,22.900241
2000-11-29,MSFT,22.238014
2000-11-30,MSFT,19.610467
2000-12-01,MSFT,19.354121
2000-12-04,MSFT,19.290035
2000-12-05,MSFT,20.464954
2000-12-06,MSFT,19.375484
2000-12-07,MSFT,18.15784
2000-12-08,MSFT,18.606446
2000-12-11,MSFT,19.845451
2000-12-12,MSFT,19.952262
2000-12-13,MSFT,19.567743
2000-12-14,MSFT,18.969603
2000-12-15,MSFT,16.812024
2000-12-18,MSFT,16.342056
2000-12-19,MSFT,15.316672
2000-12-20,MSFT,14.184478
2000-12-21,MSFT,14.846705
2000-12-22,MSFT,15.872089
