date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
2000-01-27,3.596707,37.988201,31.613637,14.352918,45.621909,23.740365,33.095241,29.788698,28.259794,75.050256,42.36929,87.333875,34.397288,26.400517,32.622464,19.204836,24.917324,32.161276,38.508677,33.752221,4.903869,19.908004,33.792902,19.823079,6.083886,19.815825,NA,24.565199,44.302419,26.950724
2000-01-28,3.322867,36.895326,31.306709,14.010702,44.44526,23.247607,31.884439,29.487795,26.714729,73.363733,40.459944,85.843043,32.951288,27.712344,31.005236,18.377737,24.337851,30.824704,39.677574,33.581323,4.86495,20.304721,32.57514,19.458237,5.90845,18.761076,NA,24.301622,41.305215,26.243683
2000-01-31,3.392348,38.410781,31.219015,13.668487,46.852043,23.546781,31.749904,29.136749,26.714729,77.263817,41.187314,86.372048,34.682107,28.224777,32.622464,18.539122,24.75176,31.284151,40.846471,33.45315,4.722244,20.881765,32.818692,19.579851,5.950557,19.007932,NA,26.120291,41.024227,27.574583
2000-02-01,3.277908,39.401652,30.692852,13.910051,50.408733,23.423592,32.220772,28.886008,27.113451,76.947594,45.096927,84.64076,35.558471,27.814831,33.860646,18.761027,24.255069,31.451222,39.90486,35.183486,4.845492,21.350613,32.311291,19.012319,6.111954,19.27723,NA,25.118706,43.9746,27.67856
2000-02-02,3.230905,38.279636000000004,31.306709,13.990572,48.723985,23.265205,32.691639,29.888992,26.727187,76.842186,44.187714,87.333875,35.076471,27.999306,33.304731,18.196179,23.510033,30.90824,39.937329,34.457172,4.923331,20.773569,32.027147,18.079945,6.273351,19.299671,NA,25.013276,43.740443,27.886513
2000-02-03,3.378043,37.973633,30.473617,13.628226,50.408733,22.930834,32.119872,30.390485,27.761388,71.993434,44.005872,90.123173,36.533426,27.322896,33.633223,17.833062,23.178906,30.636748,39.612635,35.41847,4.968735,20.557178,31.763298,17.269186,6.217214,19.007932,NA,24.644269,43.740443,27.408221
2000-02-04,3.531312,37.638483,30.86824,13.628226,51.826061,22.121303,31.649004,30.591085,28.222414,71.413691,44.460478,88.96898,36.730667,26.933447,33.052036,18.155833,23.261688,29.759623,38.995717,36.422491,4.845492,20.629308,30.768792,17.350262,6.371587,18.446895,NA,24.696988,42.19501,26.909133
2000-02-07,3.72954,37.871629,29.333597,13.286011,53.564293,22.262091,31.413572,30.490788,27.213135,72.309657,42.914817,87.814788,37.848366,26.707977,33.228923,18.357564,23.137515,29.279292,39.093125,36.443853,4.696298,21.350613,30.281687,17.269186,6.532984,18.379571,NA,25.197777,41.773528,26.867543
2000-02-08,3.756107,38.002774,28.763587,13.20549,53.831714,22.050909,30.60637,30.139745,27.325277,75.419183,44.369557,91.517866,38.155186,26.91295,34.391298,18.45843,24.048115,29.300176,39.190533,37.576048,3.840067,21.819461,31.093529,17.066496,6.287381,18.312246,NA,24.881487,44.583407,26.264479
2000-02-09,3.682537,36.501899,27.454231,12.60158,55.115331,21.118189,30.50547,30.240038,26.727187,73.152918,42.732975,90.410601,36.686836,26.236539,33.506881,18.39791,23.758378,29.279292,37.080024,35.546643,3.502764,20.8457,30.52524,16.498964,6.055817,18.177598,NA,24.380698,43.318962,25.512489
2000-02-10,3.711147,36.021033,27.982197,12.259365,58.163923,21.628546,29.092868,29.638242,27.001308,73.04751,43.323963,91.758576,37.738788,25.580625,33.60796,18.297045,23.510033,28.736309,35.846188,36.230232,3.502764,20.196526,29.693102,15.890894,6.497901,17.998066,NA,24.064404,42.710155,25.387018
2000-02-11,3.555835,35.787884,28.070191,11.595064,56.024561,20.836614,27.488257,30.390485,26.664882,71.782618,43.687648,88.870058,37.125149,25.487645,33.405801,17.933928,23.137515,27.712996,33.898026,34.158102,3.52871,20.196526,30.444056,15.809818,6.287381,17.369704,NA,23.616326,42.007685,24.717838
2000-02-14,3.78676,35.904465,26.926265,12.440537,55.837366,20.783818,28.029897,29.688395,26.789491,72.942103,43.86949,89.39962,38.527752,25.549359,31.96546,17.469946,22.43387,27.692112,34.320127,34.051291,3.35357,20.196526,29.835175,15.728742,6.385626,18.06539,NA,23.326396,44.115094,25.575224
2000-02-15,3.890983,37.099331,27.102254,12.883404,54.767685,21.822129,29.654818,29.588098,27.412496,72.942103,43.460345,90.218033,39.272885,26.228207,32.774079,17.974274,22.351088,29.780507,34.092842,33.688134,3.158976,20.521113,31.093529,15.76928,6.666313,18.8284,NA,22.878319,43.459455,26.537171
2000-02-16,3.731583,35.868032,26.22231,12.62171,54.413356,22.095437,28.910064,29.638242,27.044922,69.937984,41.64192,89.15891,37.585378,26.269349,32.142347,17.288387,22.102742,29.509015,34.027903,33.367702,3.061675,19.524634,30.540464,15.890894,6.883839,18.787852,NA,23.220966,39.525625,26.767201
2000-02-17,3.756107,34.491014,26.398299,12.460668,55.837366,22.07769,28.46998,29.287205,26.116638,69.252834000000007,39.641653,89.929181,38.571583,26.063637,31.687503,16.884924,22.351088,29.947578,32.859006,34.051291,3.009782,19.669261,30.586128,15.97197,7.059274,19.508729,NA,22.667459,36.247434,26.056198
2000-02-18,3.637579,32.232411,25.342367,12.138583,53.831714,21.634006,27.996045,28.484811,24.945371,68.146054,39.096126,86.655528,36.949824,25.487645,30.221889,16.582327,21.52327,29.258408,32.209618,32.491853,2.905997,19.669261,30.408535,15.323362,6.497901,18.877962,NA,21.876734,35.779121,25.094251
2000-02-22,3.721365,32.436419,27.366237,12.339886,53.029453,21.492027,29.350146,26.779734,25.842507,68.7785,39.005205,85.500121,37.431968,25.878497,31.232658,16.703366,21.399097,30.11465,34.027903,32.06461,2.802211,19.380007,30.159911,15.485514,6.603152,19.283455,NA,22.034875,36.060109,25.240634
2000-02-23,3.801065,32.20327,26.134316,12.178843,59.313831,20.799881,28.842358,27.381531,26.016954,72.309657,39.868956,83.76701,38.242848,25.055651,31.283193,16.541981,21.606052,31.045383,32.794067,32.214145,2.912481,19.669261,29.429254,15.404438,6.427725,19.013126,NA,21.191439,35.217145,24.96878
2000-02-24,3.766834,30.308962,25.738341,11.675585,58.725506,20.285208,28.639243,26.629287,26.116638,75.577294,38.596059,85.114985,40.061849,24.273948,30.727278,16.077998,20.778233,30.603979,32.209618,32.385042,2.808696,19.12691,28.739189,14.75583,5.90845,18.337304,NA,20.242565,35.872783,24.362336
2000-02-25,3.608968,29.084942,26.618285,11.595064,56.800079,20.178724,27.894487,24.874059,25.144741,75.261071,38.550599,83.189307,39.711198,23.697956,30.676734,15.714882,20.529888,28.838365,31.268006,31.210123,2.756803,18.729186,27.643203,14.836906,5.754077,18.044448,NA,20.058065,33.343893,23.776803
2000-02-28,3.702973,30.920964,26.046322,11.454152,55.864108,21.172575,28.097602,26.278241,25.805127,74.206995,41.323696,80.493357,39.404379,23.94481,31.510615,15.916613,20.61267,29.069577,31.982333,31.295572,2.893023,18.620715,28.698597,14.95852,5.77513,18.404886,NA,21.033292,34.608338,24.592366
2000-02-29,3.747932,31.285259,26.002324,11.293109,56.559401,21.20807,27.352846,27.281228,26.39076,78.00167,41.823763,79.145382,39.623536,23.697956,32.192882,15.694709,21.026579,29.658115,31.982333,30.547896,2.951405,18.584559,28.536228,14.512602,5.740038,18.359831,NA,20.637931,36.528422,25.198811
2000-03-01,4.260872,31.591261,25.562353,11.232718,56.345465,21.367796,26.20186,27.832871,26.1914,79.899008,40.459944,77.219704,40.631657,24.150521,33.153116,16.461288,20.695452,28.964481,31.318127,31.039226,2.91897,18.439932,28.658005,14.634216,6.133,18.314777,NA,23.168249,36.715747,25.449753
